battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range,aspect_ratio,power_to_weight,n_cores_2,n_cores_3,n_cores_4,n_cores_5,n_cores_6,n_cores_7,n_cores_8
0.22778891115564462,0,0.68,0,0.05263157894736842,0,0.08064516129032258,0.5555555555555556,0.9,2,0.01020408163265306,0.17089452603471295,0.6127739176910743,0.2857142857142857,0.3888888888888889,0.9444444444444444,0,0,1,1,0.02647416902118643,0.08790564107510034,True,False,False,False,False,False,False
0.3473613894455578,1,0.0,1,0.0,1,0.8225806451612904,0.6666666666666666,0.4666666666666667,6,0.461734693877551,0.9933244325767691,0.6346873329770176,0.8571428571428571,0.16666666666666666,0.2777777777777778,1,1,0,2,0.45556078875578926,0.2240092215953109,False,True,False,False,False,False,False
0.041416165664662656,1,0.0,1,0.10526315789473684,1,0.6290322580645161,0.888888888888889,0.5416666666666666,6,0.6443877551020408,0.8117489986648865,0.6272047033671834,0.42857142857142855,0.1111111111111111,0.3888888888888889,1,1,0,2,0.7365465576392803,0.061123580106712753,False,False,False,True,False,False,False
0.07615230460921844,1,0.8,0,0.0,0,0.12903225806451613,0.7777777777777778,0.425,9,0.6204081632653061,0.8584779706275033,0.6715660074826296,0.7857142857142857,0.4444444444444444,0.5,1,0,0,2,0.6813437201713093,0.09760945779009296,False,False,False,False,True,False,False
0.8817635270541082,1,0.27999999999999997,0,0.6842105263157895,1,0.6774193548387096,0.5555555555555556,0.5083333333333333,14,0.6163265306122448,0.4753004005340454,0.30865847140566544,0.21428571428571427,0.1111111111111111,0.7222222222222222,1,1,0,1,0.9974208708858291,0.46701868802943225,True,False,False,False,False,False,False
0.9071476285905143,0,0.0,1,0.15789473684210525,0,0.3225806451612903,0.6666666666666666,0.7,7,0.5122448979591837,0.7703604806408545,0.21672902191341528,0.8571428571428571,0.05555555555555555,0.4444444444444444,1,0,0,1,0.6074525292367424,0.3960362910399144,False,False,False,False,False,False,False
0.8817635270541082,0,0.48,0,0.21052631578947367,1,0.12903225806451613,0.7777777777777778,0.49166666666666664,10,0.19438775510204082,0.34579439252336447,0.792089791555318,0.5714285714285714,0.4444444444444444,0.8888888888888888,1,0,1,3,0.374534074076083,0.4753695138525007,False,False,False,False,False,False,True
0.9706078824315297,0,0.0,1,0.0,0,0.3548387096774194,0.7777777777777778,0.8916666666666667,0,0.2612244897959184,0.43324432576769023,0.11865312667022983,0.7857142857142857,0.16666666666666666,0.16666666666666666,1,1,1,0,0.4459273085889169,0.35621278827160047,False,False,True,False,False,False,False
0.6305945223780896,1,0.0,0,0.0,0,0.8225806451612904,0.6666666666666666,0.7833333333333333,14,0.19693877551020408,0.22429906542056074,0.22528059861036878,0.8571428571428571,0.05555555555555555,1.0,1,0,0,0,0.46205658535212424,0.2598366032749281,False,False,False,False,False,True,False
0.005344021376085505,1,0.039999999999999994,1,0.10526315789473684,1,0.11290322580645161,0.0,0.10833333333333334,15,0.5801020408163265,0.4833110814419226,0.0686798503474078,1.0,0.5555555555555556,0.5555555555555556,1,0,0,0,0.9295937260576296,0.13259275164045567,False,False,False,True,False,False,False
0.1790247160988644,1,0.96,1,0.0,0,0.11290322580645161,0.0,0.85,1,0.12653061224489795,0.24966622162883845,0.9861036878674505,0.0,0.1111111111111111,0.2777777777777778,0,0,0,3,0.28395818086070296,0.07651591107771075,False,False,False,True,False,False,False
0.6806947227788911,1,0.68,0,0.2631578947368421,1,0.5,0.4444444444444445,0.8083333333333333,18,0.0770408163265306,0.3371161548731642,0.9540352752538749,0.6428571428571429,0.5,0.6111111111111112,1,1,1,3,0.1503574745663457,0.27255312313202096,False,False,False,False,False,False,True
0.8777555110220441,0,0.9199999999999999,0,0.10526315789473684,0,0.5,0.5555555555555556,0.6583333333333333,17,0.3096938775510204,0.16555407209612816,0.327632282202031,0.9285714285714286,0.0,0.0,1,0,0,1,0.8120845167426545,0.3996192094116178,False,False,True,False,False,False,False
